"filename", "language", "JSON with Comments", "TypeScript JSX", "JSON", "TypeScript", "CSS", "Markdown", "JavaScript", "comment", "blank", "total"
"/Users/Jakai/Documents/Documents/07-WEb-DEV/32-Personal-Pros/01JakaiPage/jakaipage2.0/.eslintrc.json", "JSON with Comments", 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/Jakai/Documents/Documents/07-WEb-DEV/32-Personal-Pros/01JakaiPage/jakaipage2.0/README.md", "Markdown", 0, 0, 0, 0, 0, 23, 0, 0, 14, 37
"/Users/Jakai/Documents/Documents/07-WEb-DEV/32-Personal-Pros/01JakaiPage/jakaipage2.0/components/about/about-me-section.tsx", "TypeScript JSX", 0, 66, 0, 0, 0, 0, 0, 0, 3, 69
"/Users/Jakai/Documents/Documents/07-WEb-DEV/32-Personal-Pros/01JakaiPage/jakaipage2.0/components/about/bar-chart.tsx", "TypeScript JSX", 0, 40, 0, 0, 0, 0, 0, 0, 2, 42
"/Users/Jakai/Documents/Documents/07-WEb-DEV/32-Personal-Pros/01JakaiPage/jakaipage2.0/components/about/happy-guest-section.tsx", "TypeScript JSX", 0, 16, 0, 0, 0, 0, 0, 3, 3, 22
"/Users/Jakai/Documents/Documents/07-WEb-DEV/32-Personal-Pros/01JakaiPage/jakaipage2.0/components/about/performance-card.tsx", "TypeScript JSX", 0, 43, 0, 0, 0, 0, 0, 0, 4, 47
"/Users/Jakai/Documents/Documents/07-WEb-DEV/32-Personal-Pros/01JakaiPage/jakaipage2.0/components/about/resume-download.tsx", "TypeScript JSX", 0, 49, 0, 0, 0, 0, 0, 0, 3, 52
"/Users/Jakai/Documents/Documents/07-WEb-DEV/32-Personal-Pros/01JakaiPage/jakaipage2.0/components/about/skills-section.tsx", "TypeScript JSX", 0, 35, 0, 0, 0, 0, 0, 0, 4, 39
"/Users/Jakai/Documents/Documents/07-WEb-DEV/32-Personal-Pros/01JakaiPage/jakaipage2.0/components/blog/index.tsx", "TypeScript JSX", 0, 9, 0, 0, 0, 0, 0, 0, 5, 14
"/Users/Jakai/Documents/Documents/07-WEb-DEV/32-Personal-Pros/01JakaiPage/jakaipage2.0/components/contact/index.tsx", "TypeScript JSX", 0, 7, 0, 0, 0, 0, 0, 0, 2, 9
"/Users/Jakai/Documents/Documents/07-WEb-DEV/32-Personal-Pros/01JakaiPage/jakaipage2.0/components/experience/index.tsx", "TypeScript JSX", 0, 7, 0, 0, 0, 0, 0, 0, 2, 9
"/Users/Jakai/Documents/Documents/07-WEb-DEV/32-Personal-Pros/01JakaiPage/jakaipage2.0/components/footer/footer.tsx", "TypeScript JSX", 0, 14, 0, 0, 0, 0, 0, 0, 3, 17
"/Users/Jakai/Documents/Documents/07-WEb-DEV/32-Personal-Pros/01JakaiPage/jakaipage2.0/components/header/header-styles.ts", "TypeScript", 0, 0, 0, 25, 0, 0, 0, 0, 2, 27
"/Users/Jakai/Documents/Documents/07-WEb-DEV/32-Personal-Pros/01JakaiPage/jakaipage2.0/components/header/header.tsx", "TypeScript JSX", 0, 47, 0, 0, 0, 0, 0, 0, 3, 50
"/Users/Jakai/Documents/Documents/07-WEb-DEV/32-Personal-Pros/01JakaiPage/jakaipage2.0/components/home-page/dropdown-menu-styles.ts", "TypeScript", 0, 0, 0, 19, 0, 0, 0, 0, 2, 21
